"id";"X.id";"access";"addr.city";"addr.city.ca";"addr.city.es";"addr.housenumber";"addr.postcode";"addr.street";"addr.street.ca";"addr.street.es";"alt_name";"alt_name.ca";"alt_name.es";"amenity";"building";"building.levels";"capacity.persons";"check_date";"contact.email";"contact.phone";"contact.website";"description";"education";"email";"fee";"leisure";"level";"name";"name.ca";"name.es";"name.etymology.wikidata";"nohousenumber";"note";"old_name";"opening_hours";"operator";"operator.type";"payment.cash";"payment.credit_cards";"payment.debit_cards";"phone";"ref";"short_name";"source";"sport";"type";"website";"wikidata";"wikipedia";"longitud";"latitud"
"relation/17075724";"relation/17075724";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"yes;university";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"sports_centre";NA;"Pavelló Poliesportiu";"Pavelló Poliesportiu";"Pabellón Polideportivo";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"multipolygon";NA;NA;NA;-0,358565418782447;39,4794859707483
"way/10531147";"way/10531147";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"university";NA;NA;NA;NA;NA;NA;NA;NA;"university";NA;NA;"sports_centre";NA;"Campus esportiu de la Universitat de València";"Campus esportiu de la Universitat de València";"Campus deportivo de la Universidad de Valencia";NA;NA;NA;NA;NA;"Universitat de València";"public";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;-0,359536378570789;39,4799524206351
"way/17037818";"way/17037818";NA;NA;NA;NA;NA;NA;"Carrer de Daniel Balaciart";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"sports_centre";NA;"Poliesportiu Benimaclet";"Poliesportiu Benimaclet";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;-0,35436782320078;39,4808205940101
"way/23389289";"way/23389289";NA;"València";NA;NA;NA;"46022";"Camí de Vera";NA;NA;"Pavelló Poliesportiu";"Pavelló Poliesportiu";"Pabellón Polideportivo";NA;"yes";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"sports_centre";NA;"6A";"6A";NA;NA;NA;NA;NA;NA;"Universitat Politècnica de València";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;-0,341253473163741;39,4792740573073
"way/23389317";"way/23389317";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"yes";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"sports_centre";NA;"Trinquet Politècnic El Genovés - 9A";"Trinquet Politècnic El Genovés - 9A";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"9A";NA;NA;"pelota";NA;NA;NA;NA;-0,336082929225263;39,4797972299719
"way/23396728";"way/23396728";NA;"València";"València";"Valencia";"1";"46022";"Carrer del Campillo de Altobuey";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"yes";"sports_centre";NA;"Poliesportiu Verge del Carme - Beteró";NA;NA;NA;NA;NA;NA;"Mo-Fr 08:00-00:00; Sa 08:00-22:00; Su 09:00-14:00,16:00-20:00; PH 09:00-14:00,16:00-20:00";NA;NA;NA;NA;NA;"+34 96 338 90 86";NA;NA;NA;"multi;field_hockey;padel;soccer;skateboard";NA;"https://fhcv.es/betero/";NA;NA;-0,337043079213693;39,4752599970337
"way/23437456";"way/23437456";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"sports_centre";NA;"Poliesportiu Montolivet";"Poliesportiu Montolivet";"Polideportivo Monteolivete";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"tennis";NA;NA;NA;NA;-0,359501661339341;39,4558731173167
"way/23455764";"way/23455764";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"yes";"1";"1200";NA;NA;NA;NA;NA;NA;NA;NA;"sports_centre";NA;"Poliesportiu Municipal Cabanyal - Canyamelar";"Poliesportiu Municipal Cabanyal - Canyamelar";"Polideportivo Municipal Cabañal - Cañamelar";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"https://www.fdmvalencia.es/instalaciones/poliesportiu-el-cabanyal/";NA;NA;-0,334733011366764;39,4664835736238
"way/23502225";"way/23502225";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"sports_centre";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"athletics";NA;NA;NA;NA;-0,327632054865458;39,4644380750944
"way/23502235";"way/23502235";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"sports_centre";NA;"Poliesportiu Doctor Lluch";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;-0,327658724599365;39,4681209040184
"way/23575218";"way/23575218";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"sports_centre";NA;"L'Alqueria del Basket";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"basketball";NA;NA;NA;NA;-0,364943901281753;39,4508096842415
"way/23576271";"way/23576271";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"sports_centre";NA;"Poliesportiu La Rambleta";"Poliesportiu La Rambleta";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"multi";NA;NA;NA;NA;-0,395313343766353;39,4436586010522
"way/23793809";"way/23793809";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"yes";"2";NA;NA;NA;NA;NA;NA;NA;NA;NA;"sports_centre";NA;"Complejo Deportivo Orriols";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;-0,366397270109249;39,4935306307177
"way/32935382";"way/32935382";"private";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"sports_centre";NA;"Club de Tenis Valencia";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;-0,365129049360745;39,4839631439122
"way/118695392";"way/118695392";NA;NA;NA;NA;NA;NA;"Avinguda de França";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"sports_centre";NA;"Poliesportiu Juan Antonio Samaranch";"Poliesportiu Juan Antonio Samaranch";"Polideportivo Juan Antonio Samaranch";"Q171166";NA;NA;NA;NA;NA;NA;NA;NA;NA;"+34 963289140";NA;NA;"http://www.deportevalencia.com/instalaciones/poliesportiu-juan-antonio-samaranch/";"swimming;tennis;padel";NA;NA;"Q107277446";NA;-0,342032210271944;39,4570705383918
